stockRef,shape,color,clarity,lab,certiNo,treatment,weight,pricePerCts,discPerc,country,measurements,depthPerc,tablePerc,crownAngle,crownHeight,pavalionAngle,pavalionDepth,girdle,girdleThin,girdlePerc,girdleCondition,culetSize,culetCondition,polish,symmetry,fluorescenceIntensity,fluorescenceColor,fancyColor,fancyIntensity,fancyOvertone,pairStockRef,isMatchedPairSeparable,cutGrade,length,width,height,videoLink,certComment,keyToSymbols,certIssueDate,starLength,webLink,laserInscription,shade,Rap Price,lowerHalf,memberComment,blackcrown,blacktable,eyeclean,whitecrown,whitetable,handa,availability,cashDiscPrice,milky,enhancements,city,origin,cashDiscPerc,blackinclusion,identificationMarks,state,forTradeShow,CertiWebLink,LastCustomer,StoneLocation,CostPerCts,NotForWeb,T2A,Ratio,DeptCode,Stock Status
D237CF5-52A,RD,K,VVS2,GIA,2477824141,,3.05000,4992.07500,-60.06340,HONG KONG,9.03-9.07x5.80,64.10,59.00,37.50,15.50,40.80,43.00,STK to VTK,,5.00,Faceted,None,None,EX,EX,Medium,Blue,,,,,,VG,9.07,9.03,5.80,http://image.simgems.com/images/D237CF5-52A,,"Feather, Natural",23/10/2023 12:00:00 AM,50.00,D237CF5-52A,Y,None,12500.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC1,WT0,NO,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2477824141,TIZDAN OFIR,HONG KONG,12700.00000,False,,1.004,ENT,M
UCL501B,EM,I,IF,GIA,6475872418,,3.07000,10617.75000,-45.55000,HONG KONG,10.14x6.93x4.38,63.30,65.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Polished,None,None,EX,EX,None,,,,,,,,10.14,6.93,4.38,http://image.simgems.com/images/UCL501B,Minor details of polish are not shown.,,15/11/2023 12:00:00 AM,0.00,UCL501B,Y,None,19500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC0,WT0,NA,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6475872418,SIM GEMS USA INC,USA,20000.00000,False,,1.463,ENT,M
JBPD466A,EM,D,VS2,GIA,7483060592,,3.15000,10692.00000,-60.40000,HONG KONG,9.91x6.98x4.62,66.20,63.00,0.00,0.00,0.00,0.00,VTK,,0.00,Polished,None,None,EX,EX,Strong,Blue,,,,,,,9.91,6.98,4.62,http://image.simgems.com/images/JBPD466A,"Additional twinning wisps, pinpoints and surface graining are not shown.","Crystal, Twinning Wisp, Feather",10/11/2023 12:00:00 AM,0.00,JBPD466A,Y,,27000.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7483060592,SIM GEMS USA INC,USA,21500.00000,False,,1.420,ENT,M
D237CF5-5A,RAD,J,VS1,GIA,2477777353,,4.02000,8167.50000,-50.50000,HONG KONG,9.98x8.28x5.35,64.60,70.00,0.00,0.00,0.00,0.00,VTK,,0.00,Polished,None,None,EX,EX,None,,,,,,,,9.98,8.28,5.35,http://image.simgems.com/images/D237CF5-5A,Additional clouds are not shown. Pinpoints are not shown.,"Cloud, Crystal, Needle",27/10/2023 12:00:00 AM,0.00,D237CF5-5A,Y,None,16500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT1,EC0,WC1,WT2,NA,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2477777353,SIM GEMS USA INC,USA,20500.00000,False,,1.205,ENT,M
UCL464A,CMB,YZ,VVS1,GIA,5234086398,,7.58000,7623.00000,-30.70000,HONG KONG,11.67x9.97x6.85,68.70,65.00,0.00,0.00,0.00,0.00,ETK,,0.00,Faceted,None,None,EX,EX,None,,,,,,,,11.67,9.97,6.85,http://image.simgems.com/images/UCL464A,,Feather,06/11/2023 12:00:00 AM,0.00,UCL464A,Y,,11000.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC1,WT0,NA,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=5234086398,,HONG KONG,11000.00000,False,,1.171,ENT,A
UCL469A,CMB,Fancy Yellow,VS2,GIA,2231108853,,5.01000,8415.00000,0.00000,HONG KONG,10.47x8.80x5.95,67.60,58.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,VG,VG,Faint,,Yellow,Fancy,,,,,10.47,8.80,5.95,http://image.simgems.com/images/UCL469A,,"Crystal, Feather, Pinpoint, Cloud",06/11/2023 12:00:00 AM,0.00,UCL469A,Y,None,0.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT1,EC0,WC1,WT2,NA,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2231108853,,HONG KONG,0.00000,False,,1.190,ENT,A
MNS11B,PSB,F,VS1,GIA,2477893214,,5.07000,24007.50000,-50.50000,HONG KONG,15.37x9.73x5.59,57.40,63.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Faceted,None,None,EX,EX,Faint,,,,,,,,15.37,9.73,5.59,http://image.simgems.com/images/MNS11B,,"Crystal, Needle, Pinpoint",02/11/2023 12:00:00 AM,0.00,MNS11B,Y,None,48500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT2,EC0,WC1,WT0,NA,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2477893214,SIM GEMS USA INC,USA,51500.00000,False,,1.580,ENT,M
SBPD17-256A,RD,L,VS2,GIA,7483124790,,0.70000,651.29130,-56.58058,HONG KONG,5.51-5.56x3.56,64.40,59.00,36.00,15.00,41.20,44.00,THK,,5.50,Faceted,None,None,EX,EX,None,,,,,,,VG,5.56,5.51,3.56,,,Feather,04/12/2023 12:00:00 AM,50.00,,Y,,1500.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7483124790,,HONG KONG,2000.00000,False,,1.009,ENT,A
D236MB1-22A,RD,J,VVS2,GIA,1487109432,,0.90000,1419.03629,-55.65512,HONG KONG,6.01-6.05x3.83,63.50,57.00,37.50,16.50,40.00,42.00,THK,,5.00,Faceted,None,None,EX,EX,None,,,,,,,VG,6.05,6.01,3.83,http://image.simgems.com/images/D236MB1-22A,,"Pinpoint, Feather",28/11/2023 12:00:00 AM,50.00,D236MB1-22A,Y,,3200.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1487109432,,HONG KONG,4400.00000,False,,1.007,ENT,A
B238F2-26A,RD,I,VS1,GIA,2486116291,,0.90000,1608.26489,-54.04957,HONG KONG,6.09-6.12x3.91,64.10,56.00,32.50,14.00,42.20,45.00,STK to VTK,,5.00,Faceted,None,None,EX,EX,None,,,,,,,VG,6.12,6.09,3.91,http://image.simgems.com/images/B238F2-26A,,Feather,30/11/2023 12:00:00 AM,45.00,B238F2-26A,Y,,3500.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2486116291,,HONG KONG,4600.00000,False,,1.005,ENT,A
B238F2-18A,RD,H,VS1,GIA,5486109429,,0.91000,1723.69889,-55.80259,HONG KONG,6.00-6.05x3.88,64.30,58.00,37.50,16.00,40.60,42.50,THK,,5.50,Faceted,None,None,EX,EX,None,,,,,,,VG,6.05,6.00,3.88,http://image.simgems.com/images/B238F2-18A,,"Cloud, Needle, Pinpoint",28/11/2023 12:00:00 AM,50.00,B238F2-18A,Y,,3900.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5486109429,,HONG KONG,5100.00000,False,,1.008,ENT,A
B238F2-2A,RD,F,SI2,GIA,7488124786,,0.91000,1812.69000,-41.52613,HONG KONG,6.13-6.17x3.85,62.70,58.00,36.00,15.50,40.80,43.00,STK,,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,6.17,6.13,3.85,http://image.simgems.com/images/B238F2-2A,,"Crystal, Cloud",04/12/2023 12:00:00 AM,50.00,B238F2-2A,Y,,3100.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7488124786,,HONG KONG,3500.00000,False,,1.007,ENT,A
B238F2-77A,RD,I,VS1,GIA,7483127319,,0.91000,1609.75979,-54.00686,HONG KONG,6.01-6.04x3.85,63.90,58.00,38.00,16.50,40.00,42.00,THK,,5.50,Faceted,None,None,EX,EX,None,,,,,,,VG,6.04,6.01,3.85,http://image.simgems.com/images/B238F2-77A,,"Crystal, Cloud",04/12/2023 12:00:00 AM,50.00,B238F2-77A,Y,,3500.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7483127319,,HONG KONG,4600.00000,False,,1.005,ENT,A
B238F2-39A,RD,H,VS1,GIA,2487116304,,0.93000,1791.84060,-54.05537,HONG KONG,6.06-6.11x3.88,63.70,58.00,38.00,16.50,40.00,42.00,THK,,5.50,Faceted,None,None,EX,EX,None,,,,,,,VG,6.11,6.06,3.88,http://image.simgems.com/images/B238F2-39A,,"Cloud, Pinpoint",30/11/2023 12:00:00 AM,45.00,B238F2-39A,Y,,3900.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2487116304,,HONG KONG,5100.00000,False,,1.008,ENT,A
B238F4-81A,RD,G,VVS1,GIA,2487116298,,0.95000,3591.72000,-43.87938,HONG KONG,6.22-6.27x3.89,62.30,58.00,36.00,15.50,40.80,43.00,STK,,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,6.27,6.22,3.89,http://image.simgems.com/images/B238F4-81A,,Feather,30/11/2023 12:00:00 AM,50.00,B238F4-81A,Y,,6400.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2487116298,,HONG KONG,7600.00000,False,,1.008,ENT,A
B238F2-7A,RD,G,VVS2,GIA,7488112660,,1.01000,3062.43629,-56.25091,HONG KONG,6.27-6.31x4.03,64.00,59.00,34.00,13.50,42.00,45.00,THK,,5.50,Faceted,None,None,EX,EX,None,,,,,,,VG,6.31,6.27,4.03,http://image.simgems.com/images/B238F2-7A,,"Feather, Cloud",28/11/2023 12:00:00 AM,50.00,B238F2-7A,Y,,7000.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7488112660,ATLANTIS GEMS,THAILAND,9300.00000,False,,1.006,ENT,M
B238F4-72A,RD,J,IF,GIA,6482075233,,1.18000,2243.24100,-47.83160,HONG KONG,6.70-6.75x4.21,62.70,58.00,35.00,14.50,41.40,44.00,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,6.75,6.70,4.21,http://image.simgems.com/images/B238F4-72A,Minor details of polish are not shown.,,30/11/2023 12:00:00 AM,50.00,B238F4-72A,Y,,4300.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6482075233,,HONG KONG,5900.00000,False,,1.007,ENT,A
D236MB2-16A,RD,J,VVS1,GIA,2477843982,,1.53000,3705.81750,-44.68929,HONG KONG,7.35-7.38x4.62,62.70,58.00,34.00,14.00,41.80,44.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,7.38,7.35,4.62,http://image.simgems.com/images/D236MB2-16A,Additional clouds are not shown.,"Cloud, Feather",05/12/2023 12:00:00 AM,50.00,D236MB2-16A,Y,,6700.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2477843982,WAI HUNG DIAMONDS TRADING CO,HONG KONG,7900.00000,False,,1.004,ENT,M
D236MB2-36A,RAD,G,VVS1,GIA,6482112694,,1.56000,4972.96800,-52.63840,HONG KONG,7.39x6.14x3.91,63.70,62.00,0.00,0.00,0.00,0.00,VTK,,0.00,Polished,None,None,EX,EX,None,,,,,,,,7.39,6.14,3.91,http://image.simgems.com/images/D236MB2-36A,,Cloud,28/11/2023 12:00:00 AM,0.00,D236MB2-36A,Y,,10500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6482112694,,HONG KONG,12200.00000,False,,1.204,ENT,A
B238F4-18A,RD,I,IF,GIA,2484075251,,1.57000,4765.06800,-45.22910,HONG KONG,7.37-7.40x4.62,62.60,59.00,36.00,15.00,41.00,43.50,STK,,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,7.40,7.37,4.62,http://image.simgems.com/images/B238F4-18A,Minor details of polish are not shown.,,30/11/2023 12:00:00 AM,50.00,B238F4-18A,Y,None,8700.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC0,WT0,NO,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2484075251,,HONG KONG,10200.00000,False,,1.004,ENT,A
B238F4-23A,RD,I,IF,GIA,2487075223,,1.57000,3632.54759,-58.24658,HONG KONG,7.17-7.24x4.62,64.10,58.00,38.50,16.50,40.00,42.00,THK,,5.50,Faceted,None,None,EX,EX,None,,,,,,,VG,7.24,7.17,4.62,http://image.simgems.com/images/B238F4-23A,Minor details of polish are not shown.,,30/11/2023 12:00:00 AM,50.00,B238F4-23A,Y,,8700.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2487075223,,HONG KONG,10200.00000,False,,1.010,ENT,A
B238F4-51A,CMB,H,IF,GIA,7481124777,,1.63000,4324.47840,-52.99480,HONG KONG,6.73x6.54x4.42,67.60,61.00,0.00,0.00,0.00,0.00,STK,,0.00,Faceted,None,None,EX,EX,None,,,,,,,,6.73,6.54,4.42,http://image.simgems.com/images/B238F4-51A,Minor details of polish are not shown.,Natural,05/12/2023 12:00:00 AM,0.00,B238F4-51A,Y,None,9200.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC0,WT0,NA,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7481124777,SIM GEMS USA INC,USA,10700.00000,False,,1.029,ENT,M
B238MB15-3B,RD,I,I1,GIA,1488127364,,2.25000,3529.44900,-42.14018,HONG KONG,8.44-8.47x5.19,61.40,58.00,32.50,13.50,41.60,44.00,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,8.47,8.44,5.19,http://image.simgems.com/images/B238MB15-3B,"Additional twinning wisps, clouds, pinpoints and surface graining are not shown.","Twinning Wisp, Crystal, Feather, Needle",05/12/2023 12:00:00 AM,50.00,B238MB15-3B,Y,None,6100.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC1,BT1,EC2,WC2,WT2,NO,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1488127364,SIM GEMS USA INC,USA,6100.00000,False,,1.004,ENT,M
B238MB15-4A,RD,L,VS2,GIA,7488127518,,5.52000,8316.00000,-40.60000,HONG KONG,11.42-11.45x6.93,60.60,56.00,33.00,14.00,40.80,43.00,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,Faint,,,,,,,EX,11.45,11.42,6.93,http://image.simgems.com/images/B238MB15-4A,Additional clouds are not shown. Pinpoints are not shown.,"Cloud, Crystal, Feather, Needle",05/12/2023 12:00:00 AM,55.00,B238MB15-4A,Y,None,14000.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT1,EC0,WC1,WT2,NO,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7488127518,,HONG KONG,14500.00000,False,,1.003,ENT,A
VS2060,RD,K,IF,GIA,6452681391,,2.07000,5274.02700,-42.04366,HONG KONG,8.12-8.16x5.08,62.40,57.00,35.50,15.00,41.20,43.50,MED,Medium,3.50,Faceted,None,None,EX,EX,None,,,,,,,EX,8.16,8.12,5.08,http://image.simgems.com/images/VS2060,Minor details of polish are not shown.,,09/02/2023 12:00:00 AM,50.00,VS2060,Y,None,9100.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC0,WT0,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6452681391,,HONG KONG,5250.00000,False,,1.005,ENT,A
VS2061,RD,L,IF,GIA,2466152197,,2.20000,4616.27100,-40.81704,HONG KONG,8.38-8.41x5.11,60.90,60.00,32.50,12.50,41.80,44.50,STK,,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,8.41,8.38,5.11,http://image.simgems.com/images/VS2061,Minor details of polish are not shown.,,31/03/2023 12:00:00 AM,50.00,VS2061,Y,None,7800.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC0,WT0,VG,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2466152197,,HONG KONG,4450.00000,False,,1.004,ENT,A
JD236MB5-3A,RD,F,VVS2,GIA,1473903104,,3.53000,17412.02100,-48.02382,HONG KONG,9.68-9.70x5.99,61.80,59.00,36.00,15.00,40.80,43.00,STK,,4.00,Faceted,None,None,EX,EX,Faint,,,,,,,EX,9.70,9.68,5.99,http://image.simgems.com/images/JD236MB5-3A,,"Needle, Pinpoint",27/10/2023 12:00:00 AM,50.00,JD236MB5-3A,Y,None,33500.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT2,EC0,WC1,WT1,NO,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1473903104,SIM GEMS USA INC,USA,37000.00000,False,Not Available,1.002,ENT,M
D22L7-1L,PSB,G,I2,GIA,7482111985,,0.71000,616.00000,-56.00000,HONG KONG,7.46x4.82x3.16,65.50,57.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,VG,None,,,,,,,,7.46,4.82,3.16,,,Feather,27/11/2023 12:00:00 AM,0.00,,Y,,1400.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7482111985,,HONG KONG,1400.00000,False,,1.548,ENT,A
D237CF5-15B,CB,G,VS2,GIA,1489111980,,1.02000,2666.82240,-44.44120,HONG KONG,6.82x5.68x3.77,66.40,66.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Faceted,None,None,EX,EX,Faint,,,,,,,,6.82,5.68,3.77,http://image.simgems.com/images/D237CF5-15B,Pinpoints are not shown. Surface graining is not shown.,"Crystal, Feather, Needle",28/11/2023 12:00:00 AM,0.00,D237CF5-15B,Y,,4800.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1489111980,SIM GEMS USA INC,USA,6400.00000,False,,1.201,ENT,M
JD236MB1-44A,RD,I,VS1,GIA,1485108666,,0.92000,1927.53000,-44.92771,HONG KONG,6.24-6.26x3.88,62.10,58.00,33.00,13.50,41.80,44.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,6.26,6.24,3.88,,,"Crystal, Feather, Needle",30/11/2023 12:00:00 AM,50.00,,Y,,3500.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1485108666,,HONG KONG,4600.00000,False,,1.003,ENT,A
D237CF5-6A,EM,H,IF,GIA,7486117052,,2.31000,8019.00000,-40.60000,HONG KONG,8.94x6.34x4.25,67.10,63.00,0.00,0.00,0.00,0.00,VTK,,0.00,Polished,None,None,EX,EX,Medium,Blue,,,,,,,8.94,6.34,4.25,http://image.simgems.com/images/D237CF5-6A,Surface graining is not shown. Minor details of polish are not shown.,,30/11/2023 12:00:00 AM,0.00,D237CF5-6A,Y,,13500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7486117052,SIM GEMS USA INC,USA,7898.71429,False,,1.410,ENT,M
D235CF5-28B,CB,J,SI1,GIA,7488117030,,1.02000,1291.95000,-55.45000,HONG KONG,7.01x5.85x3.52,60.10,64.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Faceted,None,None,EX,EX,Strong,Blue,,,,,,,7.01,5.85,3.52,http://image.simgems.com/images/D235CF5-28B,Clouds are not shown. Pinpoints are not shown.,"Crystal, Feather, Needle",04/12/2023 12:00:00 AM,0.00,D235CF5-28B,Y,,2900.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7488117030,SIM GEMS USA INC,USA,3300.00000,False,,1.198,ENT,M
DPA101,RD,E,IF,GIA,7478839071,,3.21000,26168.67000,-41.84740,HONG KONG,9.41-9.47x5.84,61.90,58.00,33.50,14.00,41.40,44.00,STK,,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,9.47,9.41,5.84,http://image.simgems.com/images/DPA101,Minor details of polish are not shown.,,23/10/2023 12:00:00 AM,50.00,DPA101,Y,,45000.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC0,WT0,EX,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7478839071,,HONG KONG,27560.12461,False,Not Available,1.006,ENT,A
VSCH09,RAD,F V Y,VS2,GIA,1475787394,,5.31000,44550.00000,0.00000,HONG KONG,10.31x8.64x6.01,69.50,65.00,0.00,0.00,0.00,0.00,STK,,0.00,Polished,None,None,EX,VG,Faint,,Yellow,Fancy Vivid,,,,,10.31,8.64,6.01,http://image.simgems.com/images/VSCH09,Additional clouds are not shown. Pinpoints are not shown.,"Crystal, Cloud, Needle",25/10/2023 12:00:00 AM,0.00,VSCH09,Y,,0.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1475787394,,HONG KONG,30000.00000,False,,1.193,ENT,A
JD236MB1-99A,RD,G,IF,GIA,2487142148,,0.73000,2163.15000,-48.49643,HONG KONG,5.81-5.84x3.50,60.10,60.00,33.00,13.00,41.00,43.50,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,None,,,,,,,EX,5.84,5.81,3.50,,,Minor Details Of Polish,08/12/2023 12:00:00 AM,50.00,,Y,,4200.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2487142148,,HONG KONG,5500.00000,False,,1.005,ENT,A
CSM01M,PSB,D,VVS1,GIA,6472205432,,2.07000,10202.94000,-48.98530,HONG KONG,12.23x7.20x4.09,56.80,63.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Faceted,None,None,EX,EX,None,,,,,,,,12.23,7.20,4.09,http://image.simgems.com/images/CSM01M,Clarity grade is based on internal graining that is not shown.,,08/12/2023 12:00:00 AM,0.00,CSM01M,Y,None,20000.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC1,WT0,NA,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6472205432,,HONG KONG,23500.00000,False,Not Available,1.699,ENT,A
JNK6-04,RD,M,SI1,GIA,7481177924,,3.55000,3834.36900,-48.87508,HONG KONG,9.68-9.74x6.09,62.70,56.00,36.50,16.50,40.60,43.00,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,Strong,Blue,,,,,,EX,9.74,9.68,6.09,http://image.simgems.com/images/JNK6-04,Pinpoints are not shown.,"Crystal, Feather",18/12/2023 12:00:00 AM,45.00,JNK6-04,Y,None,7500.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC1,WC1,WT2,VG,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7481177924,,HONG KONG,7700.00000,False,,1.006,ENT,A
JBPD411P,PSB,G,I1,GIA,1485198527,,0.30000,554.40000,-30.70000,HONG KONG,6.01x3.74x2.11,56.50,66.00,0.00,0.00,0.00,0.00,THK,,0.00,Faceted,None,None,VG,GD,None,,,,,,,,6.01,3.74,2.11,,,Feather,20/12/2023 12:00:00 AM,0.00,,Y,,800.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1485198527,,HONG KONG,800.00000,False,,1.607,ENT,A
JBPD389C,PSB,D,I1,GIA,1485198460,,0.30000,580.00000,-42.00000,HONG KONG,6.21x3.60x2.28,63.20,64.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,VG,None,,,,,,,,6.21,3.60,2.28,,,Feather,20/12/2023 12:00:00 AM,0.00,,Y,,1000.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1485198460,,HONG KONG,1000.00000,False,,1.725,ENT,A
JBPD275E,OVB,D,VS2,GIA,7482198498,,0.32000,1071.00000,-37.00000,HONG KONG,5.58x3.84x2.44,63.50,64.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Faceted,None,None,VG,VG,None,,,,,,,,5.58,3.84,2.44,,,"Crystal, Feather",20/12/2023 12:00:00 AM,0.00,,Y,,1700.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7482198498,,HONG KONG,1900.00000,False,,1.453,ENT,A
SSR11C,PSB,L,SI2,GIA,2484198516,,0.32000,441.00000,-37.00000,HONG KONG,6.14x3.82x2.29,60.00,62.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,VG,VG,None,,,,,,,,6.14,3.82,2.29,,,"Etch Channel, Cloud, Knot, Feather",20/12/2023 12:00:00 AM,0.00,,Y,,700.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2484198516,,HONG KONG,529.96875,False,,1.607,ENT,A
NS19I,PSB,L,VVS2,GIA,7488198545,,0.37000,522.00000,-42.00000,HONG KONG,6.77x3.91x2.31,59.10,61.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Faceted,None,None,VG,VG,None,,,,,,,,6.77,3.91,2.31,,,"Feather, Manufacturing Remnant",20/12/2023 12:00:00 AM,0.00,,Y,,900.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7488198545,,HONG KONG,900.00000,False,,1.731,ENT,A
